"X","Gender","Race","Current.Age","TDCJ.Offense","Sentenced.Years","Sentence.Date","Year.of.Sentence","Sentenced.Age"
304,"M","B",61,"MURDER",40,"5/10/1993",1993,31
305,"M","B",70,"MURDER",30,"4/27/2007",2007,54
306,"M","B",63,"AGG ROBBERY",75,"3/5/1997",1997,37
307,"M","B",61,"AGG ROBBERY",99,"10/25/2005",2005,43
308,"M","H",61,"AGG ROBBERY",75,"7/16/1996",1996,34
309,"M","H",61,"AGG ROBBERY",30,"6/14/1993",1993,31
310,"M","B",62,"AGG ROBBERY",99,"1/28/1993",1993,32
311,"M","W",72,"MURDER",50,"10/12/1995",1995,44
312,"M","B",65,"MURDER",18,"4/22/2009",2009,51
313,"M","B",62,"AGG ROBBERY",50,"3/24/2017",2017,56
314,"M","W",63,"MURDER",50,"12/9/2011",2011,51
315,"M","W",69,"MURDER",99,"9/4/1981",1981,27
316,"M","B",61,"AGG ROBBERY",45,"8/21/1987",1987,25
317,"M","W",63,"MURDER",92,"9/25/2013",2013,53
318,"F","B",67,"MURDER",40,"2/21/1996",1996,40
319,"M","W",61,"MURDER",30,"10/17/2018",2018,56
320,"M","B",61,"AGG ROBBERY",17.4,"7/26/2019",2019,57
321,"M","B",62,"AGG ROBBERY",20,"2/8/2013",2013,52
322,"M","B",61,"AGG ROBBERY",42,"9/19/1991",1991,29
323,"M","W",61,"MURDER",60,"8/20/1996",1996,34
324,"M","H",63,"AGG ROBBERY",104,"3/1/1984",1984,24
325,"M","B",62,"AGG ROBBERY",30,"3/3/2021",2021,60
326,"M","B",62,"AGG ROBBERY",99,"1/10/1996",1996,35
327,"M","B",65,"AGG ROBBERY",30,"10/30/1998",1998,40
328,"M","B",60,"AGG ROBBERY",20,"4/23/2004",2004,41
329,"M","B",61,"MURDER",35,"4/3/2018",2018,56
330,"M","W",62,"MURDER",33,"1/13/2010",2010,49
331,"M","B",64,"MURDER",99,"5/10/2013",2013,54
332,"M","H",64,"MURDER",99,"2/28/2002",2002,43
333,"M","B",60,"AGG ROBBERY",48,"1/20/2022",2022,59
334,"M","W",62,"AGG ROBBERY",60,"2/8/1996",1996,35
335,"M","H",61,"MURDER",50,"10/24/2012",2012,50
336,"M","W",68,"MURDER",50,"10/11/1996",1996,41
337,"M","B",63,"AGG ROBBERY",35,"1/23/2006",2006,46
338,"M","H",66,"MURDER",25,"10/9/2009",2009,52
339,"M","B",61,"AGG ROBBERY",40,"11/1/2004",2004,42
340,"M","H",61,"MURDER",29,"6/3/2011",2011,49
341,"M","W",64,"MURDER",40,"10/31/2013",2013,54
342,"M","W",80,"MURDER",40,"11/26/2012",2012,69
343,"M","B",69,"AGG ROBBERY",20,"8/1/2019",2019,65
344,"M","B",64,"MURDER",60,"8/2/2000",2000,41
345,"M","B",63,"AGG ROBBERY",60,"11/19/2002",2002,42
346,"M","W",64,"MURDER",60,"1/28/1986",1986,27
347,"M","W",60,"MURDER",14,"1/10/2011",2011,48
348,"M","B",60,"MURDER",75,"4/6/2006",2006,43
349,"M","B",62,"MURDER",40,"2/19/1996",1996,35
350,"M","B",61,"AGG ROBBERY",55,"5/22/2006",2006,44
351,"M","H",62,"MURDER",40,"5/11/1995",1995,34
352,"M","W",60,"MURDER",40,"7/2/2004",2004,41
353,"M","B",62,"MURDER",15,"1/22/2014",2014,53
354,"M","W",60,"MURDER",36,"3/17/2004",2004,41
355,"M","B",61,"AGG ROBBERY",90,"8/3/2005",2005,43
356,"F","W",63,"MURDER",99,"10/26/2015",2015,55
357,"M","B",62,"MURDER",99,"10/26/1981",1981,20
358,"M","H",60,"MURDER",30,"6/27/2017",2017,54
359,"M","B",60,"MURDER",50,"7/27/2022",2022,59
360,"M","W",61,"MURDER",50,"10/26/2011",2011,49
361,"M","B",60,"AGG ROBBERY",99,"6/5/1997",1997,34
362,"M","W",61,"MURDER",90,"8/5/1982",1982,20
363,"M","H",66,"MURDER",60,"6/17/1999",1999,42
364,"M","H",60,"MURDER",99,"12/12/1995",1995,32
365,"M","B",60,"AGG ROBBERY",75,"1/8/1985",1985,22
366,"M","B",64,"MURDER",35,"1/3/2014",2014,55
367,"M","W",60,"AGG ROBBERY",75,"8/2/1991",1991,28
368,"M","H",61,"MURDER",58,"12/16/1994",1994,32
369,"M","B",63,"AGG ROBBERY",60,"6/27/2007",2007,47
370,"M","W",61,"MURDER",40,"11/1/2017",2017,55
371,"M","W",65,"AGG ROBBERY",99,"6/16/1999",1999,41
372,"M","H",59,"AGG ROBBERY",25,"3/18/2010",2010,46
373,"M","W",68,"MURDER",50,"7/24/2003",2003,48
374,"M","W",61,"AGG ROBBERY",109,"5/12/1986",1986,24
375,"M","B",64,"AGG ROBBERY",65,"4/30/1997",1997,38
376,"M","W",65,"MURDER",52,"9/14/2009",2009,51
377,"F","B",59,"AGG ROBBERY",28,"1/30/2009",2009,45
378,"M","H",64,"MURDER",35,"6/19/1987",1987,28
379,"M","B",61,"AGG ROBBERY",26,"11/8/2011",2011,49
380,"M","H",63,"MURDER",45,"5/29/1984",1984,24
381,"M","B",61,"MURDER",99,"10/9/2003",2003,41
